Horodateur	Si votre lit disposait d'un système de réveil par vibrations, qu'en penseriez-vous ?	Si votre lit NE disposait PAS d'un système de réveil par vibrations, qu'en penseriez-vous ?	Si votre lit disposait d'un système de réveil audio, qu'en penseriez-vous ?	Si votre lit NE disposait PAS d'un système de réveil audio, qu'en penseriez-vous ?	Si votre lit disposait d'une fonction d'analyse de sommeil, qu'en penseriez-vous ?	Si vous aviez un lit SANS analyse de sommeil, qu'en penseriez-vous ?	Si votre lit avait la possiblité de vous faire des massages, qu'en penseriez-vous ?	Si vous aviez un lit SANS possibilité de massage, qu'en penseriez-vous ?	Si votre lit présentait des interconnexions domotiques (lumière, stores, etc.), qu'en penseriez-vous ?	Si vous aviez un lit SANS possibilité domotique, qu'en penseriez-vous ?	Si votre lit integrait une fonction "ne pas déranger", qu'en penseriez-vous ?	Si vous aviez un lit SANS fonction "ne pas déranger", qu'en penseriez-vous ?	Si votre lit comprenait une fonction de chauffage pour l'hiver, qu'en penseriez-vous ? 	Si vous n'aviez PAS de fonction de chauffage dans votre lit, qu'en penseriez-vous ?	Si votre lit comprenait une fonction de climatisation pour l'été, qu'en penseriez-vous ?	Si vous n'aviez PAS de fonction de climatisation dans votre lit, qu'en penseriez-vous ?	Si votre lit pouvait être réglable au niveau du sommier et des pieds, qu'en penseriez-vous ?	Si vous NE pouviez PAS régler votre lit au niveau du sommier et des pieds, qu'en penseriez-vous ?	Si votre lit vous permettait de manger dedans à l'aide d'un plateau réglable, qu'en penseriez-vous ?	Si vous NE pouviez PAS manger dans votre lit à l'aide d'un plateau réglable, qu'en penseriez-vous ?	Si votre lit pouvait être facilement rangé et compacté, qu'en penseriez-vous ?	Si vous NE pouviez PAS compacter votre lit facilement, qu'en penseriez-vous ?
12/10/2021 18:25:25	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂
12/10/2021 18:26:34	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:26:50	Je m'en contente 😑	Cela me plaît 🤩	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:27:05	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:27:49	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:33:59	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:34:06	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:34:39	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela est normal ainsi 🙂	Je m'en contente 😑	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️
12/10/2021 18:38:27	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:38:53	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:39:26	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️
12/10/2021 18:42:34	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 18:47:31	Cela me déplaît ☹️	Cela me plaît 🤩	Je m'en contente 😑	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂
12/10/2021 18:58:06	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela me déplaît ☹️	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂
12/10/2021 19:03:25	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Je m'en contente 😑	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela m'est égal 🤷‍♂️
12/10/2021 19:05:02	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑
12/10/2021 19:10:23	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️
12/10/2021 22:46:37	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela me déplaît ☹️	Cela me déplaît ☹️	Cela me plaît 🤩	Cela me plaît 🤩	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑	Je m'en contente 😑	Je m'en contente 😑	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me plaît 🤩	Cela est normal ainsi 🙂
13/10/2021 18:21:21	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Je m'en contente 😑	Cela est normal ainsi 🙂	Cela me plaît 🤩	Je m'en contente 😑	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela me déplaît ☹️	Cela est normal ainsi 🙂	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela me plaît 🤩	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Je m'en contente 😑	Cela m'est égal 🤷‍♂️	Cela m'est égal 🤷‍♂️	Cela me plaît 🤩	Je m'en contente 😑
